rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported
rg01_theta12p490_foil0	0	4	8	6	64	30	13	8	8	0
rg02_theta15p195_foil0	0	0	0	2	29	15	6	3	4	0
rg02_theta15p195_foil0	0	0	0	3	41	19	9	5	5	0
rg02_theta15p195_foil0	0	0	0	4	53	25	11	8	7	0
rg02_theta15p195_foil0	0	0	0	5	44	19	9	7	5	0
rg02_theta15p195_foil0	0	0	0	6	21	0	5	0	0	21
rg02_theta15p195_foil0	0	0	1	2	44	14	9	5	4	0
rg02_theta15p195_foil0	0	0	1	3	64	23	13	12	6	0
rg02_theta15p195_foil0	0	0	1	4	88	42	18	11	11	0
rg02_theta15p195_foil0	0	0	1	5	86	42	18	13	11	0
rg02_theta15p195_foil0	0	0	1	6	65	26	13	10	7	0
rg02_theta15p195_foil0	0	0	2	2	42	16	9	3	5	0
rg02_theta15p195_foil0	0	0	2	3	7	0	2	0	0	7
rg02_theta15p195_foil0	0	0	2	4	98	44	20	11	12	0
rg02_theta15p195_foil0	0	0	2	5	113	51	23	12	13	0
rg02_theta15p195_foil0	0	0	2	6	124	56	25	20	15	0
rg02_theta15p195_foil0	0	0	3	2	45	16	9	6	5	0
rg02_theta15p195_foil0	0	0	3	3	81	42	17	16	11	0
rg02_theta15p195_foil0	0	0	3	4	103	50	21	14	13	0
rg02_theta15p195_foil0	0	0	3	5	157	77	32	25	20	0
rg02_theta15p195_foil0	0	0	3	6	161	73	33	22	19	0
rg02_theta15p195_foil0	0	0	4	2	48	20	10	8	5	0
rg02_theta15p195_foil0	0	0	4	3	79	39	16	9	10	0
rg02_theta15p195_foil0	0	0	4	4	36	19	8	6	5	0
rg02_theta15p195_foil0	0	0	4	5	158	77	32	24	20	0
rg02_theta15p195_foil0	0	0	4	6	179	76	36	29	19	0
rg02_theta15p195_foil0	0	0	5	2	27	12	6	6	4	0
rg02_theta15p195_foil0	0	0	5	3	75	36	15	11	10	0
rg02_theta15p195_foil0	0	0	5	4	110	56	22	18	14	0
rg02_theta15p195_foil0	0	0	5	5	7	0	2	0	0	7
rg02_theta15p195_foil0	0	0	5	6	159	76	32	27	19	0
rg02_theta15p195_foil0	0	0	6	2	14	0	3	0	0	14
rg02_theta15p195_foil0	0	0	6	3	49	24	10	7	6	0
rg02_theta15p195_foil0	0	0	6	4	77	37	16	11	10	0
rg02_theta15p195_foil0	0	0	6	5	96	46	20	17	12	0
rg02_theta15p195_foil0	0	0	6	6	170	80	34	24	20	0
rg02_theta15p195_foil0	0	0	7	2	12	0	3	0	0	12
rg02_theta15p195_foil0	0	0	7	3	33	19	7	7	5	0
rg02_theta15p195_foil0	0	0	7	4	56	28	12	9	8	0
rg02_theta15p195_foil0	0	0	7	5	67	32	14	13	8	0
rg02_theta15p195_foil0	0	0	7	6	103	48	21	15	12	0
rg02_theta15p195_foil0	0	0	8	2	12	0	3	0	0	12
rg02_theta15p195_foil0	0	0	8	3	20	0	4	0	0	20
rg02_theta15p195_foil0	0	0	8	4	24	0	5	0	0	24
rg02_theta15p195_foil0	0	0	8	5	44	23	9	6	6	0
