rungroup	foil	ndel	xscol	yscol	status	n_dev	n_core_dev	peak_x	peak_y	center_x	center_y	peak_density	background	shift
rg05_theta12p495_foilpm3	0	2	1	3	accepted	98	65	-8.279658199569846	-1.6297304223203568	-8.26920231464126	-1.6282445711271314	0.5645098517898631	0.011206479472654681	0.00953247745444334
rg05_theta12p495_foilpm3	0	2	1	4	accepted	125	98	-8.279658199569846	-0.1217963421186592	-8.227305070383569	-0.12832803934633924	0.8144999961495745	0.013811254707504968	0.00465329580195926
rg05_theta12p495_foilpm3	0	2	1	5	accepted	166	120	-8.194947669304605	1.3861377380830378	-8.20537252040482	1.3797793083556316	1.0502847343109463	0.01744783702702763	0.003754190129741917
rg05_theta12p495_foilpm3	0	2	1	6	accepted	150	118	-8.194947669304605	2.9443362876247927	-8.154415228109402	2.9638584733826163	0.9297758884819709	0.009461215737547966	0.0026850968176978366
rg05_theta12p495_foilpm3	0	2	2	1	accepted	44	34	-5.6536317613474125	-4.645598582723752	-5.63073102355616	-4.691774363488913	0.25628371648369125	0.0033058847110724616	0.018250644340293817
rg05_theta12p495_foilpm3	0	2	2	2	accepted	78	66	-5.738342291612652	-3.137664502522054	-5.73839455949388	-3.112287885461094	0.5603578014281989	0.003212198524110323	0.008535726517165379
rg05_theta12p495_foilpm3	0	2	2	3	low_stats	0	0	nan	nan	nan	nan	nan	nan	nan
rg05_theta12p495_foilpm3	0	2	2	4	accepted	141	106	-5.6536317613474125	-0.1217963421186592	-5.669048204932279	-0.09522768926864145	0.9260505422722465	0.011196757418322368	0.0071737504222344
rg05_theta12p495_foilpm3	0	2	2	5	accepted	218	167	-5.568921231082172	1.3861377380830378	-5.579579822839964	1.3909938129151505	1.3392658169061984	0.022840478584026755	0.01644922372673977
rg05_theta12p495_foilpm3	0	2	2	6	accepted	231	187	-5.4842107008169325	2.9443362876247927	-5.521826547976631	2.921821623721666	1.626384353581042	0.01830800185990537	0.0010358388839623225
rg05_theta12p495_foilpm3	0	2	3	1	accepted	64	53	-3.112315853390217	-4.645598582723752	-3.0643330797161483	-4.662262124791356	0.45636844097751916	0.0036566573057964366	0.0015316731980240528
rg05_theta12p495_foilpm3	0	2	3	2	accepted	109	84	-3.112315853390217	-3.137664502522054	-3.074184103022489	-3.1601309058337974	0.756148463939609	0.006880964998307464	0.005843834942027231
rg05_theta12p495_foilpm3	0	2	3	3	accepted	157	128	-3.112315853390217	-1.6297304223203568	-3.1148798191670988	-1.5984454489114033	1.030916894648478	0.010799985187947793	0.011076751439330897
rg05_theta12p495_foilpm3	0	2	3	4	accepted	222	178	-3.112315853390217	-0.0715318727786027	-3.114972408100046	-0.09156375507741615	1.4444660323811556	0.021932615000333326	0.007730368972147068
rg05_theta12p495_foilpm3	0	2	3	5	accepted	257	196	-3.027605323124977	1.3861377380830378	-3.0175109353128153	1.4046438364299407	1.6862249870766135	0.02652224672477209	0.005704860477742523
rg05_theta12p495_foilpm3	0	2	3	6	accepted	301	239	-3.027605323124977	2.894071818284736	-2.980694968522135	2.8997982293428985	2.0334182056203947	0.021443349208067633	0.0032158137540308
rg05_theta12p495_foilpm3	0	2	4	1	accepted	54	46	-0.655710475698262	-4.645598582723752	-0.6992295583673076	-4.6295884376133625	0.3971406469870985	0.0026654128465119537	0.015494749905707915
rg05_theta12p495_foilpm3	0	2	4	2	accepted	115	87	-0.4862894151677823	-3.0874000331819973	-0.5096151507748745	-3.1103758438804014	0.8007267830206866	0.008444198396806959	0.01974602318856715
rg05_theta12p495_foilpm3	0	2	4	3	accepted	149	111	-0.4862894151677823	-1.6297304223203568	-0.4998807908653579	-1.619108170086836	0.9290031072377297	0.01230718040676505	0.004056037013465908
rg05_theta12p495_foilpm3	0	2	4	4	accepted	60	49	-0.5709999454330221	-0.1217963421186592	-0.5835387427695319	-0.12170946215996996	0.49443447961233744	0.014857387482821309	0.009312477421883783
rg05_theta12p495_foilpm3	0	2	4	5	accepted	265	203	-0.4862894151677823	1.3861377380830378	-0.48992742807602024	1.385161194779521	1.8038141260779685	0.015344089465842665	0.003424222628028377
rg05_theta12p495_foilpm3	0	2	4	6	accepted	306	236	-0.4862894151677823	2.9443362876247927	-0.474232777291768	2.9236388234207897	2.0676447546273127	0.016877489970876142	0.006008441232056374
rg05_theta12p495_foilpm3	0	2	5	1	accepted	58	48	1.9703159625241724	-4.645598582723752	1.951344300423898	-4.640839673384305	0.4142573372188998	0.002262513309914527	0.007903493489920158
rg05_theta12p495_foilpm3	0	2	5	2	accepted	93	74	1.9703159625241724	-3.137664502522054	1.9804160294453685	-3.1504131411176757	0.6610349961006229	0.005515709269712234	0.01198004175302671
rg05_theta12p495_foilpm3	0	2	5	3	accepted	144	112	2.055026492789412	-1.6297304223203568	2.015333264703745	-1.6234053290919002	0.9604131456833306	0.013149447392098782	0.005449182542718879
rg05_theta12p495_foilpm3	0	2	5	4	accepted	188	141	2.055026492789412	-0.1217963421186592	2.037141806984603	-0.12519678572787224	1.2887846886221104	0.012959272366926552	0.004355297030039609
rg05_theta12p495_foilpm3	0	2	5	5	low_stats	8	0	nan	nan	nan	nan	nan	nan	nan
rg05_theta12p495_foilpm3	0	2	5	6	accepted	325	266	1.9703159625241724	2.9443362876247927	2.013168644671502	2.9187806142941035	2.260331378132122	0.012217084553049522	0.00853076315273807
rg05_theta12p495_foilpm3	0	2	6	1	accepted	52	41	4.426921340216127	-4.645598582723752	4.431607400219747	-4.615998361821673	0.3564783971451967	0.00314902393684252	0.011130016191103405
rg05_theta12p495_foilpm3	0	2	6	2	accepted	78	62	4.511631870481367	-3.137664502522054	4.532098286911168	-3.140915991835936	0.5456057172700008	0.005833345024118207	0.013655240340204874
rg05_theta12p495_foilpm3	0	2	6	3	accepted	133	104	4.596342400746607	-1.6297304223203568	4.610663551720482	-1.608447205020191	0.8998004458351267	0.013081075722256894	0.005413717917177801
rg05_theta12p495_foilpm3	0	2	6	4	accepted	189	151	4.596342400746607	-0.1217963421186592	4.570293451653271	-0.11840935761795804	1.2978997615701449	0.01829702867372135	0.007626669096306257
rg05_theta12p495_foilpm3	0	2	6	5	accepted	226	189	4.511631870481367	1.4364022074230947	4.522629220665354	1.438121057327139	1.6218830543041816	0.010287978936774926	0.006252581953490011
