pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	qa_low	n	bias	spread	rms	median	p90
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	xptar	False	32	-1.4699018709556526	2.6287935091377546	3.0118377818075985	2.617480970599365	4.354211303272742
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	ytar	False	32	-0.020920574514824385	0.17303023143543023	0.17429036527768496	0.1574342604737709	0.24474738395160392
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	yptar	False	32	-0.17988341263948118	1.2459425384275462	1.2588609340217463	1.068729720341525	1.936560042311381
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	ztar	False	32	-0.09136659612969023	0.8121207922800765	0.8172441716781742	0.7242989372835007	1.1812583655596771
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	start	xptar	False	32	-2.0386336560165823	2.667009944653737	3.3569285408428735	3.07883145938169	4.893911406347261
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	start	ytar	False	32	0.00040923124385454715	0.16950327478378513	0.16950376878594267	0.16065493898231673	0.22755897484365573
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	start	yptar	False	32	-0.2656867438321012	1.2403961694613586	1.2685314749987546	1.000724221946157	1.9986460641870705
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	start	ztar	False	32	0.007476991376351938	0.7955152165862255	0.795550353667366	0.7640267881695371	1.0817202444646488
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	beam	xptar	False	32	-1.8733409157350744	2.6580737579292215	3.2518859588182214	2.9074617692235396	4.713259688138855
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	beam	ytar	False	32	-0.007471720402526898	0.17277259872818584	0.17293408419702655	0.16419336511301097	0.2374960025762824
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	beam	yptar	False	32	-0.3097687105822161	1.2391836256839377	1.2773146488704175	1.0406957243881487	1.9745791367618402
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	beam	ztar	False	32	-0.026375693953367918	0.8097635947022775	0.8101930365886121	0.7812539089622432	1.1059365974144897
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	xptar	False	34	-0.3122432659815135	2.065073835493066	2.0885463373334203	1.7036357087831662	2.970987336768686
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	ytar	False	34	0.06120325167400956	0.21141827086767948	0.22009889430015692	0.11708808975289167	0.38302415849487603
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	yptar	False	34	-0.11258530285459109	1.312953044610029	1.3177712805223847	0.9190127182837496	2.2995816773023208
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	ztar	False	34	0.2962608933014883	1.0642456268843783	1.1047123024762235	0.5690828562260721	1.916770278929877
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	start	xptar	False	34	-0.7807792186519851	2.12594247366565	2.264784225840163	1.4991727874048844	3.3455909208037333
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	start	ytar	False	34	0.0793834828325646	0.20391416767539222	0.21882121726509074	0.12338539428682835	0.38807467933111256
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	start	yptar	False	34	-0.21921769193850948	1.308216058902533	1.3264560502441542	0.8838875677737862	2.254375576121131
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	start	ztar	False	34	0.3887201899059647	1.026218863647561	1.0973734743224939	0.5996212657116544	1.9508346927872526
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	beam	xptar	False	34	-0.2056432352238083	2.0668787013055003	2.077083702238219	1.6935017814477007	3.073241419315114
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	beam	ytar	False	34	0.0651568427302586	0.21137372878583824	0.22118830750156018	0.11913557386423156	0.38739693920694285
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	beam	yptar	False	34	-0.15811759715000767	1.305948577672066	1.315485789376755	0.9093555773804582	2.2627742632114374
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	beam	ztar	False	34	0.3171582574396168	1.0634347612905455	1.1097219704877497	0.5691179972229197	1.9360929493455932
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	xptar	False	35	0.46909423032256803	1.7191850599652132	1.782034418110244	1.238777420973173	2.9039430521034997
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	ytar	False	35	0.18621188793238685	0.18330286837565582	0.26129448666607336	0.21840778506454045	0.39853224273672416
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	yptar	False	35	-0.869051706768862	1.0783840307389005	1.3849776123788247	1.0874550428002296	2.3240747571073848
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	ztar	False	35	0.970081625594692	0.9606275120749656	1.3652338910500934	1.1133541241225888	2.0903608301199
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	start	xptar	False	35	0.1842685218403104	1.7090147478974	1.7189200960696303	1.00368056913892	2.780180984509921
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	start	ytar	False	35	0.2171563747203719	0.17482769697810796	0.2787859657736804	0.24902761930731837	0.41760855499462984
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	start	yptar	False	35	-1.0399692928144593	1.07091886596834	1.4927837577773688	1.0534313557764678	2.4480437360417358
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	start	ztar	False	35	1.1323828243327694	0.9158291240343355	1.4563769585081183	1.2941678207961909	2.1904837004437527
