model	target	group_kind	group	n	raw_share	base_sum	base_share	irls_sum	irls_share	mean_robust_factor	factor_below_half	effective_n
all_supported_squared_equalfoil	yptar	foil_quality	8:core	46836	0.11817723052079128	63418.78273941712	0.16001913287095562	63418.78273941712	0.16001913287095562	1.0	0.0	46836.0000000021
all_supported_squared_equalfoil	yptar	foil_quality	8:shoulder	11702	0.029526645135244247	15845.217260582867	0.03998086712904438	15845.217260582867	0.03998086712904438	1.0	0.0	11702.000000000153
all_supported_huber_equalfoil	xptar	all	all	396320	1.0	396319.99999999994	1.0	327476.4158296964	1.0	0.8262929345723063	0.0642006459426726	236087.47838004323
all_supported_huber_equalfoil	xptar	foil	-8	71579	0.18060910375454178	79264.0	0.20000000000000004	64545.86609663998	0.19710080780353648	0.8143150244327813	0.08232861593484123	67863.36056329393
all_supported_huber_equalfoil	xptar	foil	-3	29866	0.07535829632620104	79264.00000000003	0.2000000000000001	64959.72624722999	0.1983645939285356	0.8195363121622674	0.07496819125426907	28417.367850056573
all_supported_huber_equalfoil	xptar	foil	0	204818	0.5167995559144126	79264.0	0.20000000000000004	65648.29416850861	0.20046724281558312	0.8282233317585361	0.06026325811207999	196096.3689950067
all_supported_huber_equalfoil	xptar	foil	3	31519	0.07952916834880905	79264.0	0.20000000000000004	65926.69111208557	0.2013173710389289	0.8317356064806919	0.05920238586249564	30189.72107619692
all_supported_huber_equalfoil	xptar	foil	8	58538	0.14770387565603552	79264.0	0.20000000000000004	66395.83820523223	0.20274998441341582	0.8376543980272536	0.0530083022993611	56219.5452473908
all_supported_huber_equalfoil	xptar	quality	core	310513	0.783490613645539	310867.8658288629	0.7843860159186085	272134.50721753447	0.8310049031410481	0.8754025009691685	0.010057549925445955	189694.07412749057
all_supported_huber_equalfoil	xptar	quality	shoulder	85807	0.21650938635446104	85452.13417113712	0.21561398408139162	55341.90861216188	0.16899509685895167	0.6476363539537499	0.26013029240038693	47976.15624401253
all_supported_huber_equalfoil	xptar	foil_quality	-8:core	54299	0.13700797335486475	60128.75195238828	0.1517176825605276	52485.02960538256	0.16027117394822507	0.8728774155655477	0.014641153612405386	53107.44844005424
all_supported_huber_equalfoil	xptar	foil_quality	-8:shoulder	17280	0.04360113039967703	19135.248047611727	0.04828231743947247	12060.836491257414	0.03682963385531138	0.6302942329907623	0.2950231481481482	15278.778872147295
all_supported_huber_equalfoil	xptar	foil_quality	-3:core	23339	0.05888928138877675	61941.421549588165	0.15629143507667587	53852.299503038375	0.16444634453017887	0.8694069034228749	0.014867817815673336	22811.312332527712
all_supported_huber_equalfoil	xptar	foil_quality	-3:shoulder	6527	0.016469014937424302	17322.578450411842	0.04370856492332419	11107.42674419162	0.033918249398356734	0.6412109361194749	0.289872835912364	5776.109808656554
all_supported_huber_equalfoil	xptar	foil_quality	0:core	160951	0.40611374646750104	62287.59222333976	0.1571648976164205	54468.29545437907	0.16632738365716457	0.8744646166298474	0.009903635267876559	157654.70398295266
all_supported_huber_equalfoil	xptar	foil_quality	0:shoulder	43867	0.11068580944691159	16976.407776660253	0.04283510238357957	11179.99871412955	0.03413985915841857	0.6585609194366899	0.24503613194428614	39565.300522179314
all_supported_huber_equalfoil	xptar	foil_quality	3:core	25088	0.06330238191360517	63091.31736412956	0.159192867794029	55354.07567518838	0.16903225087199922	0.877364397952163	0.0064572704081632655	24610.184565166684
all_supported_huber_equalfoil	xptar	foil_quality	3:shoulder	6431	0.016226786435203876	16172.682635870424	0.040807132205971	10572.615436897186	0.03228512016692969	0.6537329443074279	0.2649665681853522	5743.253279761524
all_supported_huber_equalfoil	xptar	foil_quality	8:core	46836	0.11817723052079128	63418.78273941712	0.16001913287095562	55974.80697954612	0.17092775013348055	0.8826219072911298	0.0048039969254419675	46023.51054487278
all_supported_huber_equalfoil	xptar	foil_quality	8:shoulder	11702	0.029526645135244247	15845.217260582867	0.03998086712904438	10421.03122568611	0.031822234279935295	0.657676764812171	0.24594086480943428	10506.408380242136
all_supported_huber_equalfoil	ytar	all	all	396320	1.0	396319.99999999994	1.0	343635.01687318843	1.0	0.8670645359133743	0.013446205086798547	241063.46281980502
all_supported_huber_equalfoil	ytar	foil	-8	71579	0.18060910375454178	79264.0	0.20000000000000004	67589.10565895776	0.1966886444634371	0.8527087411556036	0.034297768898699336	69421.05994834713
all_supported_huber_equalfoil	ytar	foil	-3	29866	0.07535829632620104	79264.00000000003	0.2000000000000001	69090.70472506623	0.20105839432121309	0.8716530168180536	0.009241277707091676	29246.36132621718
