model	pool	target	n	rms	bias	spread	width68	p95	pooled_rms_gain	macro_rms	macro_gain	improved_cells	cells	worst_cell_gain	within_hole_spread	within_hole_gain	hole_centroid_rms	same_holes_rms	equal_hole_spread	improved_holes	holes	within_hole_events
all_core_huber_equalfoil	supported	xptar	100396	2.4271593464766887	0.17323827846977724	2.4209690192280395	1.8290481094087212	4.458460367217863	0.11336691137745492	2.739663255376965	0.1941810502244845	14	25	-1.0332989692172223	2.2572160565776893	0.1835280755675628	0.7672806145965949	2.384060374153277	2.431208984784518	1126	1962	96548
all_supported_squared_equalfoil	supported	xptar	100396	2.399744980116044	0.27007351245063393	2.3844991649117286	1.8608002600754086	4.527580568693802	1.2415700340928315	2.669951779196254	2.733767240884355	18	25	-5.188060111104464	2.1919592347940644	3.0692534807459815	0.884436870037151	2.363665345195909	2.3417257293484197	1158	1962	96548
all_supported_huber_equalfoil	supported	xptar	100396	2.3997390903925755	0.22780508232562577	2.388901954125535	1.8321583143422546	4.477741726000358	1.2418124181159174	2.6859797216126404	2.14986996233828	21	25	-1.0972988614753598	2.218139901472364	1.911516819763881	0.8097399204973208	2.3613181406474726	2.3793570894286677	1278	1962	96548
balanced_squared_full	supported	ytar	100396	0.14346568918321434	0.009769192304290826	0.14313268967827175	0.13861214102371636	0.28471043504682625	0.0	0.15721327563600104	0.0	0	25	0.0	0.13545240275861392	0.0	0.0434046131955392	0.1422368231497601	0.14438079144399626	0	1962	96548
all_core_squared_full	supported	ytar	100396	0.14201576193538343	-0.0012457341069055613	0.14201029816397961	0.13684644491489634	0.2810481931559157	1.0106439080212914	0.15736068521621002	-0.09376407915464569	12	25	-8.119922364451915	0.13459192255241992	0.6352638924592924	0.040559836068221375	0.1405705727321248	0.14436493213164864	1030	1962	96548
all_core_huber_full	supported	ytar	100396	0.14220380774233404	-0.0013187255142655433	0.14219769301728044	0.13649466942748528	0.28101439973893333	0.8795701941450296	0.15784093169103197	-0.39923858369579346	13	25	-8.281159471376487	0.1345581794187626	0.6601753247927888	0.041097526397575364	0.14069438625791475	0.1448876695637885	1004	1962	96548
all_supported_squared_full	supported	ytar	100396	0.14178758268438568	-0.0006901270688812718	0.14178590313606745	0.13691996168122944	0.2806429629065486	1.169691867360434	0.15704561235347886	0.10664702573234264	12	25	-9.18714585353575	0.1338866438632498	1.155947671267532	0.04211206981957846	0.14035333921732585	0.14335370449576768	1090	1962	96548
all_supported_huber_full	supported	ytar	100396	0.14185682241803754	-0.0006716956917661508	0.14185523216096155	0.13663644080095622	0.28059972260480415	1.1214296424019388	0.15728226827755745	-0.04388474273391285	11	25	-7.900741034399084	0.13362067613505133	1.3523027914291497	0.04297462346450943	0.1403613314011542	0.14326003384183558	1139	1962	96548
all_core_squared_equalfoil	supported	ytar	100396	0.14265571389761442	0.00920416027723127	0.14235847758819653	0.13735995087984187	0.2825037725547094	0.5645776981320849	0.15634807171231432	0.550337699018455	18	25	-4.004660180028874	0.1346846972982812	0.5667713858873547	0.042819872101518164	0.14132766584473122	0.14378371782017305	1141	1962	96548
all_core_huber_equalfoil	supported	ytar	100396	0.14271846904758315	0.00931148724164821	0.1424143869580408	0.13711273962647352	0.28242377383112927	0.5208354275404115	0.15654318777034595	0.4262285503207508	17	25	-5.627631787706644	0.13462765776525018	0.6088817743849839	0.04306846986854493	0.14134885684778312	0.1440467473298962	1110	1962	96548
