pool	level	zfoil	ndel	rungroup	xscol	yscol	target	alpha	l1	model	n	median	p90	mse	cell_mse
validation	foil_delta	-8.0	2				yptar	0.0001	0.5	refit_svd	2742	0.742810265571076	1.7337334455177	1.1399880962409736	1.1399880962409736
validation	foil_delta	-8.0	2				yptar	3e-05	0.5	full_svd	2742	0.7391467853730755	1.7380943459873708	1.1395720982330164	1.1395720982330164
validation	foil_delta	-8.0	2				yptar	3e-05	0.5	refit_svd	2742	0.740009278957461	1.7306925462897924	1.1327189112109104	1.1327189112109104
validation	foil_delta	-8.0	3				xptar	0.0001	0.1	full_svd	2741	0.8482513514743578	2.0488872451700777	1.5128266015513512	1.5128266015513512
validation	foil_delta	-8.0	3				xptar	0.0001	0.1	refit_svd	2741	0.8621930272393052	2.103506943123064	1.5966424187590968	1.5966424187590968
validation	foil_delta	-8.0	3				xptar	3e-05	0.1	full_svd	2741	0.8482513514743578	2.0488872451700777	1.5128266015513512	1.5128266015513512
validation	foil_delta	-8.0	3				xptar	3e-05	0.1	refit_svd	2741	0.8755163091211833	2.0655971746648265	1.550639225815281	1.550639225815281
validation	foil_delta	-8.0	3				xptar	0.0001	0.5	full_svd	2741	0.8482513514743578	2.0488872451700777	1.5128266015513512	1.5128266015513512
validation	foil_delta	-8.0	3				xptar	0.0001	0.5	refit_svd	2741	0.9101351243873991	2.0998132102799296	1.6284118942058856	1.6284118942058856
validation	foil_delta	-8.0	3				xptar	3e-05	0.5	full_svd	2741	0.8482513514743578	2.0488872451700777	1.5128266015513512	1.5128266015513512
validation	foil_delta	-8.0	3				xptar	3e-05	0.5	refit_svd	2741	0.8985717099052465	2.1408048076471466	1.6863262554789769	1.6863262554789769
validation	foil_delta	-8.0	3				ytar	0.0001	0.1	full_svd	2741	0.06400175329966708	0.1560961788070161	0.009146723238582847	0.009146723238582847
validation	foil_delta	-8.0	3				ytar	0.0001	0.1	refit_svd	2741	0.06648952906663196	0.16295196036496262	0.009735932252155254	0.009735932252155254
validation	foil_delta	-8.0	3				ytar	3e-05	0.1	full_svd	2741	0.06400175329966708	0.1560961788070161	0.009146723238582847	0.009146723238582847
validation	foil_delta	-8.0	3				ytar	3e-05	0.1	refit_svd	2741	0.06517945662933913	0.15816160420482964	0.009391404610005821	0.009391404610005821
validation	foil_delta	-8.0	3				ytar	0.0001	0.5	full_svd	2741	0.06400175329966708	0.1560961788070161	0.009146723238582847	0.009146723238582847
validation	foil_delta	-8.0	3				ytar	0.0001	0.5	refit_svd	2741	0.07020096031412869	0.16517294804678784	0.010467590779071518	0.010467590779071518
validation	foil_delta	-8.0	3				ytar	3e-05	0.5	full_svd	2741	0.06400175329966708	0.1560961788070161	0.009146723238582847	0.009146723238582847
validation	foil_delta	-8.0	3				ytar	3e-05	0.5	refit_svd	2741	0.06742369096978708	0.16252422574523362	0.009788429724149951	0.009788429724149951
validation	foil_delta	-8.0	3				yptar	0.0001	0.1	full_svd	2741	0.6224418509673691	1.4830247121741837	0.7905740349284168	0.7905740349284168
validation	foil_delta	-8.0	3				yptar	0.0001	0.1	refit_svd	2741	0.6260911923258736	1.4888950153461042	0.7907674052617865	0.7907674052617865
