target	fold	alpha	l1	budget	iterations	seconds	converged	dual_gap	gap_limit	gap_ratio	objective	kkt_max	active	validation_mse	svd_mse	mse_ratio	validation_rms	prediction_change_rms
ytar	1	3e-05	0.5	1000000	424460	4.606897588819265	True	9.999829954433783e-07	1.0000000000000033e-06	0.999982995443375	0.009091166963697788	2.1937460469409242e-08	131	2.4389463482546825e-06	2.2872061289065396e-06	1.0663430450934854	0.15617126330585543	4.39986015577248e-05
yptar	1	0.0001	0.1	20000	20000	0.3009724048897624	False	0.0001954198928330978	9.999999999999904e-07	195.41989283309968	0.003291515298295503	4.329294659172107e-06	129	1.2083415160748656e-06	1.1774253129873752e-06	1.0262574642709605	1.0992458851753166	
yptar	1	0.0001	0.1	100000	100000	1.198942945804447	False	4.136250734678882e-06	9.999999999999904e-07	4.136250734678922	0.003291157448734989	2.91960167873606e-07	129	1.208498164088482e-06	1.1774253129873752e-06	1.0263905071161317	1.0993171353565276	0.0071369287757658915
yptar	1	0.0001	0.1	300000	169552	2.0012996289879084	True	9.999847169357145e-07	9.999999999999904e-07	0.9999847169357241	0.0032911552429480584	8.005806524610385e-08	129	1.2085223370440444e-06	1.1774253129873752e-06	1.02641103746765	1.0993281298338746	0.0004997828208178493
yptar	1	3e-05	0.1	20000	20000	0.3930386397987604	False	0.000941624194351575	9.999999999999904e-07	941.624194351584	0.0029879021495234784	6.896974815050641e-06	164	1.1916281999207876e-06	1.1774253129873752e-06	1.0120626648474005	1.0916172405750963	
yptar	1	3e-05	0.1	100000	100000	1.4070180295966566	False	0.00014634743061323231	9.999999999999904e-07	146.3474306132337	0.0029863188732040073	1.4981639340845573e-06	148	1.1907150256653334e-06	1.1774253129873752e-06	1.011287096116729	1.0911988937243904	0.019307267871641554
yptar	1	3e-05	0.1	300000	300000	3.9351905127987266	False	2.4893366035875025e-05	9.999999999999904e-07	24.893366035875264	0.0029861679149303997	2.801946881947105e-07	142	1.1909437993383169e-06	1.1774253129873752e-06	1.0114813960612437	1.091303715442368	0.004500271085047494
yptar	1	3e-05	0.1	1000000	468241	5.716015017591417	True	9.99976768036007e-07	9.999999999999904e-07	0.9999767680360164	0.0029861659828700825	3.9494610610665795e-08	143	1.1909415786456525e-06	1.1774253129873752e-06	1.0114795100030454	1.0913026979924738	0.0005087092679961451
yptar	1	0.0001	0.5	20000	20000	0.18149146623909473	False	3.9319999231836326e-05	9.999999999999904e-07	39.319999231836704	0.003512494514773502	3.7252543813204132e-06	75	1.2287411685570114e-06	1.1774253129873752e-06	1.0435831088423242	1.1084859803159495	
yptar	1	0.0001	0.5	100000	38336	0.45260224724188447	True	9.999647599222687e-07	9.999999999999904e-07	0.9999647599222782	0.003512437119300773	1.29326142028672e-07	74	1.2287059704193716e-06	1.1774253129873752e-06	1.0435532146849185	1.1084701035298026	0.004404847062733451
yptar	1	3e-05	0.5	20000	20000	0.28914629202336073	False	0.0003961921333880966	9.999999999999904e-07	396.1921333881004	0.0030746649540542887	7.82696199203876e-06	103	1.1990318455011192e-06	1.1774253129873752e-06	1.0183506607811275	1.0950031257951363	
yptar	1	3e-05	0.5	100000	75972	0.836982243694365	True	9.99937430509563e-07	9.999999999999904e-07	0.9999374305095725	0.0030739707742196455	8.869330468795672e-08	93	1.1994439636304918e-06	1.1774253129873752e-06	1.018700677147199	1.0951912908850636	0.012646128290245043
xptar	2	0.0001	0.1	20000	20000	0.32058032788336277	False	7.670084914184745e-05	1.0000000000000057e-06	76.70084914184702	0.0020327513622674155	2.287384578570238e-06	130	3.5263416011701855e-06	2.7359068328240256e-06	1.28891143472538	1.877855585813293	
xptar	2	0.0001	0.1	100000	86336	1.0598077238537371	True	9.999907508533752e-07	1.0000000000000057e-06	0.9999907508533695	0.0020326458666287813	5.895809102790413e-08	127	3.529694292481127e-06	2.7359068328240256e-06	1.2901368753254465	1.8787480651969084	0.009031336661011358
xptar	2	3e-05	0.1	20000	20000	0.4236732409335673	False	0.0008358902696360249	1.0000000000000057e-06	835.8902696360202	0.0014716991061498954	9.300540699385345e-06	173	3.1560117347794045e-06	2.7359068328240256e-06	1.1535523421028717	1.7765167420487216	
xptar	2	3e-05	0.1	100000	100000	1.4120079101994634	False	6.55569261903582e-05	1.0000000000000057e-06	65.55692619035783	0.0014670034920561239	8.442748959636743e-07	152	3.126549583963894e-06	2.7359068328240256e-06	1.142783645427225	1.7682051871782	0.05804398307238082
xptar	2	3e-05	0.1	300000	273733	3.469648854341358	True	9.999332875300771e-07	1.0000000000000057e-06	0.9999332875300715	0.0014669706842870248	7.268320345579342e-08	152	3.1274624936501303e-06	2.7359068328240256e-06	1.1431173226107036	1.7684633141940294	0.005189348212979689
xptar	2	0.0001	0.5	20000	20000	0.270980313885957	False	9.810913432898228e-06	1.0000000000000057e-06	9.810913432898172	0.0023164184497665597	1.2471609311762188e-06	77	3.8607855380257034e-06	2.7359068328240256e-06	1.411153878379904	1.9648881744327595	
xptar	2	0.0001	0.5	100000	38598	0.44798139575868845	True	9.999183724618357e-07	1.0000000000000057e-06	0.99991837246183	0.002316410564074879	8.62417107775517e-08	76	3.860589288935954e-06	2.7359068328240256e-06	1.4110821474688235	1.9648382348010112	0.0031657124038746882
xptar	2	3e-05	0.5	20000	20000	0.24504165863618255	False	0.00010464596900184919	1.0000000000000057e-06	104.6459690018486	0.0016223091100126793	3.8120491042415013e-06	102	3.331047705997691e-06	2.7359068328240256e-06	1.217529656358713	1.8251158061881145	
xptar	2	3e-05	0.5	100000	96263	0.8626814275048673	True	9.999739523220423e-07	1.0000000000000057e-06	0.9999739523220366	0.0016214342168837071	1.4683048676819352e-07	94	3.31521143983669e-06	2.7359068328240256e-06	1.2117413502764278	1.8207722097606527	0.02877681422887062
ytar	2	0.0001	0.1	20000	20000	0.3217678898945451	False	0.005035987885246476	9.999999999999966e-07	5035.9878852464935	0.011400729927835895	2.5894648600419283e-05	176	2.590973439896856e-06	2.270116360520832e-06	1.1413394859206292	0.1609650098591882	
ytar	2	0.0001	0.1	100000	100000	1.3104439335875213	False	0.0016033132615272906	9.999999999999966e-07	1603.3132615272962	0.011385746157425346	5.721071287743297e-06	166	2.5921809069523385e-06	2.270116360520832e-06	1.141871382468525	0.161002512618665	0.0040398946417165085
ytar	2	0.0001	0.1	300000	300000	3.854706632439047	False	3.9099429241624876e-05	9.999999999999966e-07	39.09942924162501	0.01138504025975007	4.545088825730613e-07	167	2.5922652419837353e-06	2.270116360520832e-06	1.141908532560416	0.16100513165684302	0.0007522697005714217
ytar	2	0.0001	0.1	1000000	524271	6.699132334440947	True	9.999770489838886e-07	9.999999999999966e-07	0.9999770489838921	0.011385037027040515	2.2369858381457604e-08	167	2.5922709235679794e-06	2.270116360520832e-06	1.1419110353326716	0.16100530809783817	4.365324046827723e-05
ytar	2	3e-05	0.1	20000	20000	0.39688134798780084	False	0.007403635401891701	9.999999999999966e-07	7403.635401891726	0.00906670549355276	3.3779297718396136e-05	199	2.4170239617244142e-06	2.270116360520832e-06	1.0647136877027208	0.15546780894205764	
ytar	2	3e-05	0.1	100000	100000	1.4948519407771528	False	0.004343208641889901	9.999999999999966e-07	4343.208641889916	0.00902760567414519	7.533111330872931e-06	183	2.4011299481045323e-06	2.270116360520832e-06	1.0577122784814617	0.1549557984750662	0.009257505773926523
ytar	2	3e-05	0.1	300000	300000	3.9610805748961866	False	0.0010170062948139866	9.999999999999966e-07	1017.00629481399	0.009023672059546314	1.4764057792784382e-06	172	2.401368478594015e-06	2.270116360520832e-06	1.0578173526061325	0.15496349501072873	0.0022505513543428445
ytar	2	3e-05	0.1	1000000	1000000	12.13780179573223	False	4.069366235872298e-06	9.999999999999966e-07	4.069366235872312	0.009023470058166646	4.832161678043465e-08	173	2.401319650069368e-06	2.270116360520832e-06	1.0577958433454195	0.15496191951796956	0.0003556879190220661
ytar	2	3e-05	0.1	3000000	1214228	15.049243520013988	True	9.999895562210063e-07	9.999999999999966e-07	0.9999895562210097	0.009023469862010722	1.72510203899634e-08	173	2.401321116934923e-06	2.270116360520832e-06	1.057796489508577	0.1549619668478341	1.5083098448049545e-05
ytar	2	0.0001	0.5	20000	20000	0.2803023783490062	False	0.0014028759553841742	9.999999999999966e-07	1402.875955384179	0.01172107393030861	2.338259976383996e-05	112	2.595366645544376e-06	2.270116360520832e-06	1.143274719604647	0.16110141667733327	
