pool	subset	target	model	reference	comparison	metric	value	reference_value	change	percent_change
protected_core	all	ztar	old	old	starting	p90	1.076016876347491	1.076016876347491	0.0	0.0
protected_core	all	ztar	old	old	starting	cell_mse	0.563962274511856	0.563962274511856	0.0	0.0
protected_core	all	ztar	gmm	old	starting	bias	0.027447897586032343	0.11774047776327959	-0.09029258017724724	
protected_core	all	ztar	gmm	old	starting	spread	0.6433725067680753	0.6583005872468439	-0.01492808047876859	-2.2676693243129376
protected_core	all	ztar	gmm	old	starting	rms	0.6439577389448243	0.6687469501040473	-0.024789211159222946	-3.7068148356214747
protected_core	all	ztar	gmm	old	starting	median	0.4226534673510576	0.4284563611553209	-0.005802893804263298	-1.3543721905810768
protected_core	all	ztar	gmm	old	starting	p90	1.05105932047881	1.076016876347491	-0.024957555868681203	-2.319439073613694
protected_core	all	ztar	gmm	old	starting	cell_mse	0.5017859760652905	0.563962274511856	-0.06217629844656547	-11.024903837829026
protected_core	all	ztar	gmm	old	previous	bias	0.027447897586032343	0.11774047776327959	-0.09029258017724724	
protected_core	all	ztar	gmm	old	previous	spread	0.6433725067680753	0.6583005872468439	-0.01492808047876859	-2.2676693243129376
protected_core	all	ztar	gmm	old	previous	rms	0.6439577389448243	0.6687469501040473	-0.024789211159222946	-3.7068148356214747
protected_core	all	ztar	gmm	old	previous	median	0.4226534673510576	0.4284563611553209	-0.005802893804263298	-1.3543721905810768
protected_core	all	ztar	gmm	old	previous	p90	1.05105932047881	1.076016876347491	-0.024957555868681203	-2.319439073613694
protected_core	all	ztar	gmm	old	previous	cell_mse	0.5017859760652905	0.563962274511856	-0.06217629844656547	-11.024903837829026
protected_core	all	ztar	core	old	starting	bias	0.0514423776504103	0.11774047776327959	-0.0662981001128693	
protected_core	all	ztar	core	old	starting	spread	0.6353284567597011	0.6583005872468439	-0.02297213048714286	-3.489611118716651
protected_core	all	ztar	core	old	starting	rms	0.6374076922872761	0.6687469501040473	-0.03133925781677116	-4.686265531662648
protected_core	all	ztar	core	old	starting	median	0.4169659708761436	0.4284563611553209	-0.011490390279177254	-2.6818111063151795
protected_core	all	ztar	core	old	starting	p90	1.0443386084374437	1.076016876347491	-0.03167826791004735	-2.944030768139838
protected_core	all	ztar	core	old	starting	cell_mse	0.48539520847321527	0.563962274511856	-0.07856706603864072	-13.931262708422354
protected_core	all	ztar	core	gmm	previous	bias	0.0514423776504103	0.027447897586032343	0.023994480064377956	
protected_core	all	ztar	core	gmm	previous	spread	0.6353284567597011	0.6433725067680753	-0.00804405000837427	-1.2502943355137797
protected_core	all	ztar	core	gmm	previous	rms	0.6374076922872761	0.6439577389448243	-0.006550046657548214	-1.0171547388002522
protected_core	all	ztar	core	gmm	previous	median	0.4169659708761436	0.4226534673510576	-0.005687496474913956	-1.3456642176769118
protected_core	all	ztar	core	gmm	previous	p90	1.0443386084374437	1.05105932047881	-0.00672071204136615	-0.6394227148192266
protected_core	all	ztar	core	gmm	previous	cell_mse	0.48539520847321527	0.5017859760652905	-0.01639076759207525	-3.2664857875467135
protected_core	all	ztar	enet	old	starting	bias	0.040343284187145605	0.11774047776327959	-0.07739719357613398	
protected_core	all	ztar	enet	old	starting	spread	0.6426264765727605	0.6583005872468439	-0.01567411067408342	-2.380996003609226
protected_core	all	ztar	enet	old	starting	rms	0.6438915816900587	0.6687469501040473	-0.02485536841398861	-3.716707554347942
protected_core	all	ztar	enet	old	starting	median	0.42243348773222644	0.4284563611553209	-0.0060228734230944325	-1.4057145532520354
protected_core	all	ztar	enet	old	starting	p90	1.049542566512871	1.076016876347491	-0.02647430983462007	-2.460399127241053
