rungroup	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel	original_core	available	excluded_core	blocked	total	holdout	holdout_core	unsupported	noncore_development	geometry_excluded_development	pool	q_hole	hole_cap	capacity	hole_bound	population	quota	surplus	qa_low	hole_loss	parent_loss	actual_selected
rg01_theta12p490_foil0	0.0	-5.0	0.0	1	3	0	2	603	603	0	False	982	197	151	0	182	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	576	False	2	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	1	4	0	2	827	827	0	False	1361	273	195	0	261	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	800	False	226	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	1	5	0	2	1030	1030	0	False	1689	338	262	0	321	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1003	False	429	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	1	6	0	2	1192	1192	0	False	1890	378	289	0	320	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1165	False	591	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	1	7	0	2	0	0	0	False	1	1	0	1	0	0	rg01_theta12p490_foil0	401.0	601	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-5.0	0.0	2	1	0	2	70	70	0	False	101	21	16	0	10	0	rg01_theta12p490_foil0	401.0	601	70	False	open_populated	27	43	False	0	43	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	2	2	0	2	535	535	0	False	839	168	142	0	136	0	rg01_theta12p490_foil0	401.0	601	535	False	open_populated	27	508	False	0	508	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	2	3	0	2	0	0	0	True	23	5	0	23	18	18	rg01_theta12p490_foil0	401.0	601	0	False	blocked	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-5.0	0.0	2	4	0	2	1038	1038	0	False	1637	328	256	0	271	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1011	False	437	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	2	5	0	2	1248	1248	0	False	1970	394	320	0	328	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1221	False	647	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	2	6	0	2	1597	1597	0	False	2531	507	403	0	427	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1570	False	996	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	2	7	0	2	151	151	0	False	226	46	42	0	29	0	rg01_theta12p490_foil0	401.0	601	151	False	open_populated	27	124	False	0	124	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	3	1	0	2	159	159	0	False	238	48	39	0	31	0	rg01_theta12p490_foil0	401.0	601	159	False	open_populated	27	132	False	0	132	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	3	2	0	2	573	573	0	False	885	177	142	0	135	0	rg01_theta12p490_foil0	401.0	601	573	False	open_populated	27	546	False	0	546	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	3	3	0	2	919	919	0	False	1439	288	231	0	232	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	892	False	318	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	3	4	0	2	1276	1276	0	False	2005	401	330	0	328	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1249	False	675	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	3	5	0	2	1628	1628	0	False	2478	496	396	0	354	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1601	False	1027	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	3	6	0	2	1945	1945	0	False	3022	605	494	0	472	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	1918	False	1344	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	3	7	0	2	527	527	0	False	772	155	132	0	90	0	rg01_theta12p490_foil0	401.0	601	527	False	open_populated	27	500	False	0	500	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	4	1	0	2	197	197	0	False	290	58	45	0	35	0	rg01_theta12p490_foil0	401.0	601	197	False	open_populated	27	170	False	0	170	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	4	2	0	2	661	661	0	False	991	199	168	0	131	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	634	False	60	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	4	3	0	2	1004	1004	0	False	1553	311	239	0	238	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	977	False	403	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	4	4	0	2	393	393	0	False	597	120	89	0	84	0	rg01_theta12p490_foil0	401.0	601	393	False	open_populated	27	366	False	0	366	27
