rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported	excluded_core
rg01_theta12p490_foil0	0	3	7	1	3	0	1	0	0	3	0
rg01_theta12p490_foil0	0	3	7	2	425	28	85	64	236	0	0
rg01_theta12p490_foil0	0	3	7	3	684	29	137	111	408	0	0
rg01_theta12p490_foil0	0	3	7	4	1030	29	206	165	584	0	0
rg01_theta12p490_foil0	0	3	7	5	1452	28	291	226	863	0	0
rg01_theta12p490_foil0	0	3	7	6	1926	29	386	305	1210	0	0
rg01_theta12p490_foil0	0	3	7	7	15	0	3	0	0	15	0
rg01_theta12p490_foil0	0	3	8	1	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	3	8	2	166	29	34	26	79	0	0
rg01_theta12p490_foil0	0	3	8	3	481	28	97	73	280	0	0
rg01_theta12p490_foil0	0	3	8	4	674	28	135	111	397	0	0
rg01_theta12p490_foil0	0	3	8	5	1047	28	210	177	622	0	0
rg01_theta12p490_foil0	0	3	8	6	364	29	73	58	189	0	0
rg01_theta12p490_foil0	0	3	8	7	2	0	1	0	0	2	0
rg01_theta12p490_foil0	0	4	0	2	54	35	11	9	0	0	0
rg01_theta12p490_foil0	0	4	0	3	284	38	57	43	144	0	0
rg01_theta12p490_foil0	0	4	0	4	447	38	90	67	241	0	0
rg01_theta12p490_foil0	0	4	0	5	701	38	141	109	406	0	0
rg01_theta12p490_foil0	0	4	0	6	23	13	5	5	0	0	0
rg01_theta12p490_foil0	0	4	1	1	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	4	1	2	268	38	54	43	131	0	0
rg01_theta12p490_foil0	0	4	1	3	436	38	88	70	234	0	0
rg01_theta12p490_foil0	0	4	1	4	651	38	131	98	376	0	0
rg01_theta12p490_foil0	0	4	1	5	1004	38	201	158	593	0	0
rg01_theta12p490_foil0	0	4	1	6	1384	38	277	223	832	0	0
rg01_theta12p490_foil0	0	4	1	7	3	0	1	0	0	3	0
rg01_theta12p490_foil0	0	4	2	1	105	38	21	16	25	0	0
rg01_theta12p490_foil0	0	4	2	2	313	39	63	45	157	0	0
rg01_theta12p490_foil0	0	4	2	3	7	0	2	0	0	7	0
rg01_theta12p490_foil0	0	4	2	4	866	39	174	142	497	0	0
rg01_theta12p490_foil0	0	4	2	5	1195	38	239	190	716	0	0
rg01_theta12p490_foil0	0	4	2	6	1837	38	368	280	1112	0	0
rg01_theta12p490_foil0	0	4	2	7	1013	38	203	160	621	0	0
rg01_theta12p490_foil0	0	4	3	1	192	38	39	34	79	0	0
rg01_theta12p490_foil0	0	4	3	2	380	38	76	63	191	0	0
rg01_theta12p490_foil0	0	4	3	3	652	38	131	91	364	0	0
rg01_theta12p490_foil0	0	4	3	4	1014	38	203	167	591	0	0
rg01_theta12p490_foil0	0	4	3	5	1481	38	297	233	885	0	0
rg01_theta12p490_foil0	0	4	3	6	2131	39	427	324	1307	0	0
rg01_theta12p490_foil0	0	4	3	7	2213	38	443	348	1392	0	0
rg01_theta12p490_foil0	0	4	4	1	187	38	38	32	63	0	0
rg01_theta12p490_foil0	0	4	4	2	419	38	84	68	220	0	0
rg01_theta12p490_foil0	0	4	4	3	677	39	136	97	379	0	0
