method	foil_z_cm	N	target	units	training_count	heldout_count	training_residual_rms	heldout_residual_rms	heldout_change_from_reference_percent
current_XTX	-8.0	184	yptar	mrad	44310	36160	1.1149986267674277	1.086118295585641	-0.29904275035150807
current_XTX	-8.0	185	xptar	mrad	44310	36160	2.2613109944555108	2.2096144385701546	-0.8432671371939038
current_XTX	-8.0	185	ytar	cm	44310	36160	0.15612474346896715	0.1529353647775074	-0.7313767914648439
current_XTX	-8.0	185	yptar	mrad	44310	36160	1.1148750834363383	1.0859791106861478	-0.3118193215321696
current_XTX	-8.0	186	xptar	mrad	44310	36160	2.2608874183828056	2.2095134876184215	-0.8477973241706516
current_XTX	-8.0	186	ytar	cm	44310	36160	0.15623355852866402	0.15306722092778832	-0.6457904490318356
current_XTX	-8.0	186	yptar	mrad	44310	36160	1.1149885414730618	1.0861273131894755	-0.2982149733606776
current_XTX	-8.0	187	xptar	mrad	44310	36160	2.2613866134978333	2.2096445924287114	-0.8419139789027974
current_XTX	-8.0	187	ytar	cm	44310	36160	0.156232433979739	0.15305674045100928	-0.6525932084978314
current_XTX	-8.0	187	yptar	mrad	44310	36160	1.1149645471938978	1.0860714334121835	-0.3033444949878894
current_XTX	-8.0	188	xptar	mrad	44310	36160	2.261496415160601	2.2099530847514166	-0.8280703461410077
current_XTX	-8.0	188	ytar	cm	44310	36160	0.15604438971236137	0.15283491827587786	-0.7965754846342432
current_XTX	-8.0	188	yptar	mrad	44310	36160	1.114830762417842	1.0859268615150408	-0.31661556923008316
current_XTX	-8.0	189	xptar	mrad	44310	36160	2.261019004077228	2.2095859843836227	-0.8445440224837175
current_XTX	-8.0	189	ytar	cm	44310	36160	0.15619058158823051	0.15301149784549	-0.6819596743038114
current_XTX	-8.0	189	yptar	mrad	44310	36160	1.1149336743628344	1.0860512578185033	-0.3051965271386847
current_XTX	-8.0	190	xptar	mrad	44310	36160	2.2608850405046295	2.209459785536718	-0.8502072120120219
current_XTX	-8.0	190	ytar	cm	44310	36160	0.1562922238461452	0.15313713084233055	-0.6004127106955859
