setting	construction	foil_lab_z_cm	lab_X_cm	lab_Y_cm	xscol	yscol	vertex_x_cm	vertex_y_cm	vertex_z_cm	xt_cm	yt_cm	p_slope	q_slope	sieve_x_cm	sieve_y_cm	dx_cm	dy_cm	dx_mm	dy_mm	setting_offset_x_cm	setting_offset_y_cm	dx_after_offset_cm	dy_after_offset_cm	dx_after_offset_mm	dy_after_offset_mm	dxt_cm	dyt_cm	dp_slope	dq_slope	dp_mrad	dq_mrad
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	-0.2	-0.2	6	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.27513949611952226	-1.9055309895646906	0.028607725583038947	0.011342446366456491	5.081237394070066	0.0	0.0012373940700660668	0.0	0.012373940700660668	0.0	0.0	0.0	0.0012373940700660668	0.0	0.012373940700660668	0.0	0.0012373940700657338	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	-0.2	-0.2	4	2	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.049409555916160613	-2.040226517244668	-0.00029410449950095606	-0.005998651683067451	-6.938893903907228e-18	-3.048	-6.938893903907228e-18	0.0	-6.938893903907228e-17	0.0	0.0	0.0	-6.938893903907228e-18	0.0	-6.938893903907228e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	-0.2	-0.2	4	2	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.051693987999999996	-2.0402150539436446	0.0	-0.005997175864007601	0.051693987999999996	-3.0477405990969215	0.051693987999999996	0.0002594009030785216	0.51693988	0.002594009030785216	-0.14830601200000001	0.0	0.2	0.0002594009030785216	2.0	0.002594009030785216	0.002284432083839383	1.1463301023528771e-05	0.00029410449950095606	1.475819059850239e-06	0.2941044910211928	0.0014757659692133177
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	-0.2	-0.2	4	2	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.04939683476632276	-2.040226517244668	-0.00029410449950095606	-0.005998651683067451	-1.272114983785766e-05	-3.048	-1.272114983785766e-05	0.0	-0.0001272114983785766	0.0	0.0	0.0	-1.272114983785766e-05	0.0	-0.0001272114983785766	0.0	-1.272114983785072e-05	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	-0.2	-0.2	4	6	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.049409555916160613	-1.770835461884713	-0.00029410449950095606	0.028683544415980436	-6.938893903907228e-18	3.0480000000000005	-6.938893903907228e-18	4.440892098500626e-16	-6.938893903907228e-17	4.440892098500626e-15	0.0	0.0	-6.938893903907228e-18	4.440892098500626e-16	-6.938893903907228e-17	4.440892098500626e-15	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	-0.2	-0.2	4	6	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.051693987999999996	-1.7708902755530913	0.0	0.028676487543238077	0.051693987999999996	3.0467596317109056	0.051693987999999996	-0.0012403682890944623	0.51693988	-0.012403682890944623	-0.14830601200000001	0.0	0.2	-0.0012403682890944623	2.0	-0.012403682890944623	0.002284432083839383	-5.481366837822854e-05	0.00029410449950095606	-7.05687274235936e-06	0.2941044910211928	-0.007051072929416952
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	-0.2	-0.2	4	6	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.04939683476632276	-1.7708354618847133	-0.00029410449950095606	0.028683544415980436	-1.272114983785766e-05	3.048	-1.272114983785766e-05	0.0	-0.0001272114983785766	0.0	0.0	0.0	-1.272114983785766e-05	0.0	-0.0001272114983785766	0.0	-1.272114983785072e-05	-2.220446049250313e-16	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	-0.2	-0.2	0	0	0.051693987999999996	-1.9936324923731383	-7.767416301741936	-0.3995755363504313	-2.174922044924646	-0.05809776466458077	-0.023339749732591394	-10.16	-6.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	-0.2	-0.2	0	0	0.051693987999999996	-1.9936324923731383	-7.767416301741936	-0.3996802579712099	-2.1748774431389206	-0.05778943901207613	-0.02333400756763044	-10.108306012	-6.094990714500835	0.051693988000000246	0.0010092854991654576	0.5169398800000025	0.010092854991654576	-0.14830601200000001	0.0	0.20000000000000026	0.0010092854991654576	2.0000000000000027	0.010092854991654576	-0.0001047216207785695	4.4601785725184584e-05	0.0003083256525046388	5.742164960954171e-06	0.3072939227435137	0.005739039423222764
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	-0.2	-0.2	0	0	0.051693987999999996	-1.9936324923731383	-7.767416301741936	-0.40208848794007634	-2.174922044924646	-0.05809776466458077	-0.023339749732591394	-10.162512951589646	-6.096	-0.0025129515896455956	0.0	-0.025129515896455956	0.0	0.0	0.0	-0.0025129515896455956	0.0	-0.025129515896455956	0.0	-0.0025129515896450405	0.0	0.0	0.0	0.0	0.0
