rungroup	foil	ndel	xscol	yscol	available	training
rg02_theta15p195_foil0	0	3	3	3	95	68
rg02_theta15p195_foil0	0	3	3	4	117	96
rg02_theta15p195_foil0	0	3	3	5	184	138
rg02_theta15p195_foil0	0	3	3	6	264	159
rg02_theta15p195_foil0	0	3	3	7	171	129
rg02_theta15p195_foil0	0	3	4	1	16	12
rg02_theta15p195_foil0	0	3	4	2	37	30
rg02_theta15p195_foil0	0	3	4	3	86	67
rg02_theta15p195_foil0	0	3	4	4	32	27
rg02_theta15p195_foil0	0	3	4	5	200	162
rg02_theta15p195_foil0	0	3	4	6	325	196
rg02_theta15p195_foil0	0	3	4	7	203	162
rg02_theta15p195_foil0	0	3	5	1	9	7
rg02_theta15p195_foil0	0	3	5	2	41	31
rg02_theta15p195_foil0	0	3	5	3	66	49
rg02_theta15p195_foil0	0	3	5	4	113	87
rg02_theta15p195_foil0	0	3	5	6	260	146
rg02_theta15p195_foil0	0	3	5	7	145	108
rg02_theta15p195_foil0	0	3	6	2	19	16
rg02_theta15p195_foil0	0	3	6	3	52	48
rg02_theta15p195_foil0	0	3	6	4	87	74
rg02_theta15p195_foil0	0	3	6	5	161	134
rg02_theta15p195_foil0	0	3	6	6	267	140
rg02_theta15p195_foil0	0	3	6	7	46	36
rg02_theta15p195_foil0	0	3	7	2	32	27
rg02_theta15p195_foil0	0	3	7	3	33	30
rg02_theta15p195_foil0	0	3	7	4	68	51
rg02_theta15p195_foil0	0	3	7	5	115	88
rg02_theta15p195_foil0	0	3	7	6	159	93
rg02_theta15p195_foil0	0	3	8	2	6	4
rg02_theta15p195_foil0	0	3	8	3	25	18
rg02_theta15p195_foil0	0	3	8	4	46	38
rg02_theta15p195_foil0	0	3	8	5	99	78
rg02_theta15p195_foil0	0	4	0	2	1	1
rg02_theta15p195_foil0	0	4	0	3	4	4
rg02_theta15p195_foil0	0	4	0	4	26	22
rg02_theta15p195_foil0	0	4	0	5	28	25
rg02_theta15p195_foil0	0	4	1	2	3	2
rg02_theta15p195_foil0	0	4	1	3	14	11
rg02_theta15p195_foil0	0	4	1	4	29	21
rg02_theta15p195_foil0	0	4	1	5	45	37
rg02_theta15p195_foil0	0	4	1	6	74	56
rg02_theta15p195_foil0	0	4	2	2	5	4
rg02_theta15p195_foil0	0	4	2	4	32	26
rg02_theta15p195_foil0	0	4	2	5	64	49
rg02_theta15p195_foil0	0	4	2	6	101	76
rg02_theta15p195_foil0	0	4	2	7	51	38
rg02_theta15p195_foil0	0	4	3	2	10	7
rg02_theta15p195_foil0	0	4	3	3	20	16
rg02_theta15p195_foil0	0	4	3	4	35	28
rg02_theta15p195_foil0	0	4	3	5	64	53
rg02_theta15p195_foil0	0	4	3	6	143	111
rg02_theta15p195_foil0	0	4	3	7	133	108
rg02_theta15p195_foil0	0	4	4	2	10	7
rg02_theta15p195_foil0	0	4	4	3	21	20
rg02_theta15p195_foil0	0	4	4	4	6	4
rg02_theta15p195_foil0	0	4	4	5	85	70
rg02_theta15p195_foil0	0	4	4	6	147	112
rg02_theta15p195_foil0	0	4	4	7	167	135
rg02_theta15p195_foil0	0	4	5	2	2	2
rg02_theta15p195_foil0	0	4	5	3	20	15
rg02_theta15p195_foil0	0	4	5	4	44	31
rg02_theta15p195_foil0	0	4	5	6	169	127
rg02_theta15p195_foil0	0	4	5	7	133	107
rg02_theta15p195_foil0	0	4	6	2	6	6
rg02_theta15p195_foil0	0	4	6	3	13	12
rg02_theta15p195_foil0	0	4	6	4	33	26
rg02_theta15p195_foil0	0	4	6	5	47	40
rg02_theta15p195_foil0	0	4	6	6	121	95
rg02_theta15p195_foil0	0	4	6	7	43	33
rg02_theta15p195_foil0	0	4	7	3	14	8
rg02_theta15p195_foil0	0	4	7	4	22	19
rg02_theta15p195_foil0	0	4	7	5	59	48
rg02_theta15p195_foil0	0	4	7	6	100	78
rg02_theta15p195_foil0	0	4	8	3	9	7
rg02_theta15p195_foil0	0	4	8	4	9	6
rg02_theta15p195_foil0	0	4	8	5	39	37
rg03_theta12p490_foilpm8	0	0	0	2	37	10
rg03_theta12p490_foilpm8	0	0	0	3	63	23
rg03_theta12p490_foilpm8	0	0	0	4	80	27
rg03_theta12p490_foilpm8	0	0	0	5	13	3
rg03_theta12p490_foilpm8	0	0	1	1	9	2
rg03_theta12p490_foilpm8	0	0	1	2	38	14
rg03_theta12p490_foilpm8	0	0	1	3	89	36
rg03_theta12p490_foilpm8	0	0	1	4	129	51
rg03_theta12p490_foilpm8	0	0	1	5	77	23
rg03_theta12p490_foilpm8	0	0	2	1	29	11
rg03_theta12p490_foilpm8	0	0	2	2	64	27
rg03_theta12p490_foilpm8	0	0	2	3	8	3
rg03_theta12p490_foilpm8	0	0	2	4	146	60
rg03_theta12p490_foilpm8	0	0	2	5	123	44
rg03_theta12p490_foilpm8	0	0	2	6	3	0
rg03_theta12p490_foilpm8	0	0	3	1	16	5
rg03_theta12p490_foilpm8	0	0	3	2	83	29
rg03_theta12p490_foilpm8	0	0	3	3	126	54
rg03_theta12p490_foilpm8	0	0	3	4	151	45
rg03_theta12p490_foilpm8	0	0	3	5	174	63
rg03_theta12p490_foilpm8	0	0	3	6	42	13
rg03_theta12p490_foilpm8	0	0	4	1	28	10
rg03_theta12p490_foilpm8	0	0	4	2	135	48
rg03_theta12p490_foilpm8	0	0	4	3	159	60
rg03_theta12p490_foilpm8	0	0	4	4	43	16
rg03_theta12p490_foilpm8	0	0	4	5	190	64
rg03_theta12p490_foilpm8	0	0	4	6	157	59
rg03_theta12p490_foilpm8	0	0	5	1	17	8
rg03_theta12p490_foilpm8	0	0	5	2	78	28
rg03_theta12p490_foilpm8	0	0	5	3	140	46
rg03_theta12p490_foilpm8	0	0	5	4	139	64
rg03_theta12p490_foilpm8	0	0	5	5	8	4
