pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	n	qa_low	bias	rms	p95
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	3	svd	xptar	34	False	0.0798487318034628	1.5969576046171068	2.937254905769996
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	3	svd	ytar	34	False	0.07485997498145718	0.21961656331282922	0.3627850257933314
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	3	svd	yptar	34	False	-0.41455398392457654	1.340648030618138	2.1125369721481
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	3	svd	ztar	34	False	0.35918423647613695	1.0628753225442948	1.777601022174456
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	enet	xptar	34	False	-0.9808651199378637	1.8932761202068529	3.3869098603867545
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	enet	ytar	34	False	0.2099844450516968	0.28458195518155155	0.5465645757191951
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	enet	yptar	34	False	-0.5628919937899071	1.2996306630197	2.4705923621030084
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	enet	ztar	34	False	1.0350786762850004	1.4137759180283183	2.70583769677268
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	svd	xptar	34	False	0.3191393094051188	1.6032280017537797	2.907412216064421
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	svd	ytar	34	False	0.04614381830421946	0.21515326724306752	0.4054578677034983
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	svd	yptar	34	False	-0.06663816174909439	1.2037772927823287	2.2181509808094932
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	svd	ztar	34	False	0.22149618739033475	1.0818247063139763	2.012874586533944
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	enet	xptar	34	False	-0.45576497875168054	2.344446005695798	3.969791933967679
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	enet	ytar	34	False	0.2969819947782331	0.34591967521831146	0.5452346079040101
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	enet	yptar	34	False	-1.301578275345658	1.6775972569837552	2.7831712781081808
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	enet	ztar	34	False	1.543545532422225	1.7990278126205168	2.8211380268256323
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	svd	xptar	34	False	0.30225781730087925	2.2391689360041664	3.93076310502312
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	svd	ytar	34	False	0.09226716447776405	0.2247464136360264	0.39857156905703855
