target	fold	l1	alpha	mse	active	converged	dual_gap
ytar	1	0.9	1e-05	2.3918683654385524e-06	147	False	0.002659962183057618
yptar	1	0.9	1e-05	1.1929595861700408e-06	103	False	0.0001080454465736492
xptar	2	0.1	0.1	0.00024915663073701925	34	True	9.76467800000658e-07
ytar	2	0.1	0.1	6.305632985097844e-05	61	True	9.95570315242904e-07
yptar	2	0.1	0.1	2.188283436476925e-05	23	True	9.621675055669264e-07
xptar	2	0.1	0.03	7.856646313765367e-05	30	True	9.924682356506345e-07
ytar	2	0.1	0.03	2.9008178697112626e-05	68	True	9.993885504124151e-07
yptar	2	0.1	0.03	7.735739531980047e-06	40	True	9.79668408454418e-07
xptar	2	0.1	0.01	2.2757506935383152e-05	51	True	9.997770370432954e-07
ytar	2	0.1	0.01	1.3399206078642217e-05	85	True	9.99312998756431e-07
yptar	2	0.1	0.01	3.10398494402089e-06	51	True	9.99317276510543e-07
xptar	2	0.1	0.003	8.604649300577166e-06	66	True	9.993464238166705e-07
ytar	2	0.1	0.003	6.351669105077919e-06	100	False	0.00022148358661868624
yptar	2	0.1	0.003	1.7014406540180026e-06	62	True	9.991608883472785e-07
xptar	2	0.1	0.001	5.179738426030076e-06	97	False	6.7250544147979036e-06
ytar	2	0.1	0.001	4.054879420438905e-06	126	False	0.000640180439041844
yptar	2	0.1	0.001	1.359699690218216e-06	75	False	1.2476468566044574e-06
xptar	2	0.1	0.0003	4.025235440998835e-06	116	False	1.1550278705504079e-05
ytar	2	0.1	0.0003	3.03032155777508e-06	152	False	0.001618851454108086
yptar	2	0.1	0.0003	1.2455306160423731e-06	98	False	7.36447757044133e-05
xptar	2	0.1	0.0001	3.526738591788854e-06	131	False	6.7894426492748e-05
ytar	2	0.1	0.0001	2.590542780521777e-06	164	False	0.003917212372971748
yptar	2	0.1	0.0001	1.2059947327689426e-06	124	False	0.00011955665392985103
xptar	2	0.1	3e-05	3.1517969978023194e-06	166	False	0.0007454083310446503
ytar	2	0.1	3e-05	2.4091623208766226e-06	188	False	0.006095174427948701
yptar	2	0.1	3e-05	1.190328847870882e-06	156	False	0.0013164776702642915
xptar	2	0.1	1e-05	2.9822028315698903e-06	191	False	0.0009441936373365471
ytar	2	0.1	1e-05	2.355849116597653e-06	202	False	0.007079306096323253
yptar	2	0.1	1e-05	1.1862310997761056e-06	186	False	0.001992981099051951
xptar	2	0.5	0.1	0.0003066084407975155	8	True	9.97486006006584e-07
ytar	2	0.5	0.1	9.573723481394807e-05	13	True	9.729826214803244e-07
yptar	2	0.5	0.1	2.6125149700446678e-05	6	True	4.767631820449136e-07
xptar	2	0.5	0.03	7.274311222525302e-05	12	True	9.720632326338218e-07
ytar	2	0.5	0.03	3.168061800256645e-05	20	True	9.923154356824523e-07
yptar	2	0.5	0.03	9.238299950168617e-06	8	True	9.429417350662938e-07
xptar	2	0.5	0.01	2.2275143524947504e-05	13	True	9.548008157613637e-07
ytar	2	0.5	0.01	1.2909323547645733e-05	34	True	9.958982722765606e-07
yptar	2	0.5	0.01	3.74698364969202e-06	17	True	9.946085845502919e-07
xptar	2	0.5	0.003	1.0074307606418155e-05	30	True	9.90083466751172e-07
ytar	2	0.5	0.003	6.6965710489662075e-06	45	True	9.975756735866086e-07
yptar	2	0.5	0.003	1.8301940072683062e-06	28	True	9.996733750137584e-07
xptar	2	0.5	0.001	6.29813815973532e-06	42	True	9.985124888503925e-07
ytar	2	0.5	0.001	4.247320887853165e-06	63	True	9.990535972005742e-07
yptar	2	0.5	0.001	1.4814899435587118e-06	37	True	9.97075054232609e-07
xptar	2	0.5	0.0003	4.6869764194878e-06	58	True	9.98303220439142e-07
ytar	2	0.5	0.0003	3.0869558112964448e-06	89	False	0.00036809631265975
yptar	2	0.5	0.0003	1.3043956579632835e-06	56	True	9.99928812115103e-07
xptar	2	0.5	0.0001	3.861088001393025e-06	77	False	1.0177845261938296e-05
ytar	2	0.5	0.0001	2.594917138446378e-06	113	False	0.0006757344911158402
yptar	2	0.5	0.0001	1.2288773976972422e-06	73	False	3.3655621960241634e-06
