term	target	coefficient	standardized	active	fold_frequency
11210	xptar	-0.0	-0.0	False	0.0
11210	ytar	0.0	0.0	False	0.0
11210	yptar	0.0	0.0	False	0.0
02210	xptar	-0.0	-0.0	False	0.0
02210	ytar	0.0	0.0	False	0.0
02210	yptar	0.0	0.0	False	0.0
10310	xptar	0.0	0.0	False	0.0
10310	ytar	-0.0	-0.0	False	0.0
10310	yptar	0.0	0.0	False	0.0
01310	xptar	-356.11591659479757	-0.012936953815989588	True	1.0
01310	ytar	156.93492649407594	0.016743525841198398	True	1.0
01310	yptar	-194.89552634174893	-0.017641530045585233	True	1.0
00410	xptar	0.0	0.0	False	0.0
00410	ytar	0.0	0.0	False	0.0
00410	yptar	-0.0	-0.0	False	0.0
30020	xptar	0.0	0.0	False	0.0
30020	ytar	-0.0	-0.0	False	0.0
30020	yptar	0.0	0.0	False	0.0
21020	xptar	-0.0	-0.0	False	0.0
21020	ytar	-0.0	-0.0	False	0.0
21020	yptar	0.0	0.0	False	0.0
12020	xptar	-0.0	-0.0	False	0.0
12020	ytar	-0.0	-0.0	False	0.0
12020	yptar	0.0	0.0	False	0.0
03020	xptar	0.0	0.0	False	0.0
03020	ytar	-0.0	-0.0	False	0.0
03020	yptar	0.0	0.0	False	0.0
20120	xptar	-0.0	-0.0	False	0.0
20120	ytar	0.0	0.0	False	0.0
20120	yptar	-0.0	-0.0	False	0.0
11120	xptar	-0.0	-0.0	False	0.0
11120	ytar	-0.0	-0.0	False	0.0
11120	yptar	0.0	0.0	False	0.0
02120	xptar	-0.0	-0.0	False	0.0
02120	ytar	0.0	0.0	False	0.0
02120	yptar	0.0	0.0	False	0.0
10220	xptar	0.0	0.0	False	0.0
10220	ytar	-0.0	-0.0	False	0.0
10220	yptar	0.0	0.0	False	0.0
01220	xptar	-0.0	-0.0	False	0.0
01220	ytar	0.0	0.0	False	0.0
01220	yptar	-0.0	-0.0	False	0.0
00320	xptar	0.0	0.0	False	0.0
00320	ytar	-0.0	-0.0	False	0.0
00320	yptar	0.0	0.0	False	0.0
20030	xptar	-2444.256195785047	-0.02118937889764056	True	1.0
20030	ytar	0.0	0.0	False	0.0
20030	yptar	-881.3194915242306	-0.019037004510823033	True	1.0
11030	xptar	0.0	0.0	False	0.0
11030	ytar	-0.0	-0.0	False	0.0
11030	yptar	0.0	0.0	False	0.0
02030	xptar	0.0	0.0	False	0.0
02030	ytar	0.0	0.0	False	0.0
02030	yptar	-0.0	-0.0	False	0.0
10130	xptar	0.0	0.0	False	0.0
10130	ytar	-0.0	-0.0	False	0.0
10130	yptar	0.0	0.0	False	0.0
01130	xptar	-0.0	-0.0	False	0.0
01130	ytar	0.0	0.0	False	0.0
01130	yptar	-0.0	-0.0	False	0.0
00230	xptar	-0.0	-0.0	False	0.0
00230	ytar	-0.0	-0.0	False	0.0
00230	yptar	0.0	0.0	False	0.0
10040	xptar	0.0	0.0	False	0.0
10040	ytar	-0.0	-0.0	False	0.0
10040	yptar	0.0	0.0	False	0.0
01040	xptar	-0.0	-0.0	False	0.0
01040	ytar	0.0	0.0	False	0.0
01040	yptar	-0.0	-0.0	False	0.0
00140	xptar	-0.0	-0.0	False	0.0
00140	ytar	-106790.38762422324	-0.10205582261060159	True	1.0
00140	yptar	47751.19228942236	0.03871657351212649	True	1.0
00050	xptar	-0.0	-0.0	False	0.0
00050	ytar	-0.0	-0.0	False	0.0
00050	yptar	0.0	0.0	False	0.0
60000	xptar	-0.0	-0.0	False	0.0
60000	ytar	0.0	0.0	False	0.3333333333333333
60000	yptar	-0.0	-0.0	False	0.0
51000	xptar	0.0	0.0	False	0.0
